gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
BNC1,-0.012690188922933375,-0.43243333983334964,0.6655067986181893,0.07486944,0.084428154,0.9433067305571977,60
LAMB2,-0.012688230392596329,-0.4323665898266065,0.6655552901829961,0.074990645,0.08439977,0.9433067305571977,60
ESAM,-0.012686417354357863,-0.4323047984396335,0.6656001807308217,0.29598325,0.29856706,0.9433067305571977,60
MTF2,-0.012678227506851433,-0.43202567474027953,0.6658029750077277,0.05429693,0.06525697,0.9434140158547432,60
SPMAP2,-0.012676666296852091,-0.4319724661024744,0.6658416359404081,0.16118702,0.16892186,0.9434140158547432,60
IL17A,-0.012672766517143224,-0.43183955512663713,0.6659382117822368,0.15301129,0.16286567,0.9434140158547432,60
CDK1,-0.012666602923369533,-0.4316294896440828,0.6660908609828943,-2.5615287,-2.4903622,0.9434263285635832,60
OASL,-0.01266213359536154,-0.4314771675752615,0.6662015581887447,0.11561964,0.12012007,0.9434263285635832,60
FAM162B,-0.012658018454233397,-0.43133691680226166,0.6663034892449976,0.08240984,0.09254571,0.9434263285635832,60
POTEG,-0.012657852924177442,-0.43133127526635995,0.6663075895134618,-0.5560239,-0.5440401,0.9434263285635832,60
OR2T29,-0.012656981941080985,-0.43130159073394453,0.6663291643970034,0.030821389,0.027111527,0.9434263285635832,60
FXR1,-0.012645616224805924,-0.4309142285725067,0.6666107267067038,0.15319768,0.15358204,0.9434263285635832,60
ARL11,-0.012642992923475304,-0.43082482220521806,0.6666757202816967,0.05971343,0.07121403,0.9434263285635832,60
ARF4,-0.012606919431153949,-0.4295953799367788,0.6675697119704274,-0.49536404,-0.5065246,0.9441729680549047,60
ZNF211,-0.012602819992077874,-0.4294556646078764,0.6676713362111386,0.25257546,0.25252837,0.9441729680549047,60
OR6C70,-0.012593282205026701,-0.4291306019135461,0.6679077995156718,0.08208948,0.09551484,0.9441729680549047,60
C3orf85,-0.012585827621723734,-0.42887653814145793,0.6680926384142144,0.14264171,0.14782786,0.9441729680549047,60
CPNE8,-0.012585709368478765,-0.4288725078878594,0.6680955707051781,0.19923943,0.19798464,0.9441729680549047,60
LPAR4,-0.012581203015201346,-0.42871892440749687,0.6682073171923164,0.26979625,0.2677785,0.9441729680549047,60
CCDC47,-0.012567122950664263,-0.42823905422782427,0.6685565155044555,0.002916946,0.00083591806,0.9441729680549047,60
CPNE5,-0.012566843857878898,-0.4282295423205148,0.6685634379817316,-0.07234228,-0.041489653,0.9441729680549047,60
CENPB,-0.01256599104587601,-0.4282004771888593,0.6685845908767228,0.041779567,0.08210531,0.9441729680549047,60
ZNF19,-0.012538787444834113,-0.4272733375318196,0.6692594786966783,0.16313583,0.1829069,0.9441729680549047,60
RAD51B,-0.012533188773250173,-0.4270825264976688,0.6693984079726967,-0.06313078,-0.060369935,0.9441729680549047,60
POLM,-0.01252939520327597,-0.42695323602738317,0.669492550642599,0.09217193,0.09444661,0.9441729680549047,60
PIK3R5,-0.012518461877566308,-0.42658061223471133,0.6697639052095232,0.1715943,0.18088554,0.9442395319885007,60
ZSCAN9,-0.012514816119850678,-0.4264563594930295,0.6698543989626997,0.25716618,0.26031563,0.9442395319885007,60
MAST4,-0.012512978552245382,-0.4263937325146931,0.669900012252594,0.16850904,0.16559567,0.9442395319885007,60
RPL7,-0.012509531336342226,-0.42627624639138034,0.6699855845516979,-1.7374492,-1.7014357,0.9442883227355882,60
OR1J1,-0.01250608776224518,-0.42615888440128524,0.6700710707189449,0.08736161,0.108597964,0.9443369846750908,60
ASB7,-0.012501001911954353,-0.42598555128890814,0.6701973339313976,0.11920081,0.105626926,0.9444135119202278,60
CD2BP2,-0.01249029543365983,-0.4256206591765357,0.6704631673581588,-0.28208062,-0.29802325,0.9446380148684735,60
RPS27L,-0.012475579292240998,-0.42511911224179305,0.6708286248094923,0.10551231,0.08889653,0.9449041977683429,60
DOK7,-0.01246226903292669,-0.4246654799975897,0.6711592358851253,0.20258738,0.20786448,0.9449410589727929,60
ANKRD17,-0.012453666691130948,-0.4243723002838706,0.6713729416916796,-0.046905287,-0.057297125,0.9449410589727929,60
ATF7IP,-0.012452684519371145,-0.4243388265170029,0.6713973432252692,0.08624741,0.0574322,0.9449410589727929,60
KRT40,-0.01244999467138881,-0.4242471527978237,0.67146417283498,0.18702617,0.1903204,0.9449410589727929,60
ATXN3,-0.012446894596794943,-0.4241414980028741,0.6715411977941461,0.15785488,0.1741566,0.9449410589727929,60
CDK6,-0.012442002921197487,-0.42397478301281943,0.6716627441711829,-0.39338315,-0.43464586,0.9449410589727929,60
MYG1,-0.012440850078328286,-0.42393549255662344,0.6716913907933414,-0.17336814,-0.15302943,0.9449410589727929,60
OTOP2,-0.012436399125270598,-0.4237837980260624,0.6718019955649076,0.015663084,0.022886433,0.9449635830072151,60
PARP6,-0.012430704832822211,-0.42358972883567947,0.6719435072735456,0.061981145,0.07436455,0.9449635830072151,60
BAIAP3,-0.01242574205208361,-0.4234205905876354,0.6720668492890939,0.05808897,0.06091988,0.9449732249208901,60
HRH2,-0.012423852559471904,-0.42335619414418096,0.6721138119379613,0.24919154,0.2681286,0.9449732249208901,60
ZSCAN32,-0.012419141459423234,-0.4231956335531037,0.6722309101743326,0.15620044,0.15756714,0.9449732249208901,60
CELF1,-0.012418118869211086,-0.4231607823146128,0.6722563285376987,-0.043677926,-0.02514091,0.9449732249208901,60
PRKCZ,-0.012413153166583426,-0.42299154456405474,0.6723797655429952,0.019312019,0.008617064,0.9450750481854705,60
RDH12,-0.012388804940477529,-0.42216172508493494,0.6729851392324058,0.23979822,0.26054877,0.9453951841912978,60
SERPINA9,-0.012387577454462907,-0.42211989077157025,0.6730156640144407,0.19941305,0.20899361,0.9453951841912978,60
CCDC90B,-0.012380825335123554,-0.4218897698324546,0.6731835834656007,0.097580455,0.092612416,0.9455593864322782,60
DENND11,-0.012376014892244372,-0.42172582376759243,0.6733032250054583,0.13413045,0.14568768,0.9455759257308779,60
CCDC180,-0.012373018648608423,-0.4216237079552617,0.6733777493863856,-0.030903608,0.00049123116,0.9455759257308779,60
LSM3,-0.012362928911781753,-0.42127983691297655,0.6736287309606533,-1.4314791,-1.4284737,0.945826186803445,60
GATA4,-0.01235398637060665,-0.42097506386271155,0.6738512064533667,0.23219576,0.23458445,0.9460668767927372,60
ARK2C,-0.012344059543891568,-0.420636745241624,0.6740982026951208,0.25106323,0.2557847,0.9461282019824246,60
PDE6G,-0.012340923153229884,-0.42052985316648617,0.6741762486957253,-0.03244858,-0.029369138,0.9461282019824246,60
EYA1,-0.012339919459747608,-0.42049564605312834,0.6742012253617138,0.2630526,0.26558402,0.9461282019824246,60
TMEM259,-0.012323909946649727,-0.41995002224805333,0.6745996666267075,0.08657022,0.089128055,0.9464723214914835,60
FAM90A1,-0.012304683117450834,-0.4192947487985031,0.6750783001921539,0.1971779,0.20265508,0.9467021796163755,60
OPTN,-0.012304189266893344,-0.4192779177840308,0.6750905958605101,0.24423382,0.23795895,0.9467021796163755,60
ZNF34,-0.012298275561848556,-0.4190763717051345,0.6752378393475937,0.011305001,0.03516863,0.9467021796163755,60
BAG2,-0.012290152526731433,-0.41879952910980295,0.6754401124870343,0.05939528,0.068764254,0.946773967246785,60
TRIM32,-0.012288596872294055,-0.4187465105854702,0.6754788527855887,0.17800389,0.1745558,0.946773967246785,60
FAIM,-0.012281527898432804,-0.4185055917193756,0.6756549015092137,-0.01245126,-0.012161575,0.9469180248860035,60
ANKRD16,-0.01227406737128905,-0.41825132832923545,0.6758407208589018,0.15682434,0.15692537,0.9470662733088558,60
SLC18B1,-0.012266344602239741,-0.41798812750536324,0.6760330926450019,0.18908042,0.18254402,0.9470758978426523,60
TIAM1,-0.012265584821944555,-0.4179622333258072,0.6760520196785174,0.042612564,0.05277765,0.9470758978426523,60
OR6Y1,-0.012251539225225259,-0.4174835434904988,0.6764019490639489,0.13828912,0.15060584,0.9473207907829715,60
KBTBD11,-0.012248309000526347,-0.4173734538112278,0.6764824361573073,0.25658444,0.25879002,0.9473207907829715,60
AGMO,-0.012236767552519177,-0.41698010843031447,0.6767700430842314,0.20061079,0.2042755,0.9475803300637621,60
PLA1A,-0.012230218056514903,-0.41675689439830704,0.6769332740888393,0.112334214,0.1295811,0.9477053801835824,60
SRR,-0.01222908003429339,-0.4167181093539958,0.6769616382003173,0.18054381,0.18042664,0.9477053801835824,60
EAF2,-0.0122251996102098,-0.41658586026137895,0.6770583574857412,0.09484808,0.088503204,0.9477691813391955,60
PIRT,-0.012215413490984659,-0.41625233870921236,0.6773022994064015,0.27674207,0.2849402,0.9479594411713819,60
OR2G6,-0.012210159323183515,-0.4160732710239529,0.677433285782108,0.035335973,0.045513067,0.9479594411713819,60
NUP93,-0.012202881455991601,-0.4158252335455451,0.6776147390640307,-1.6297989,-1.602215,0.9479594411713819,60
FEM1A,-0.01219626659714237,-0.41559979215613546,0.6777796782916551,-0.046664633,-0.04048556,0.9479594411713819,60
NRAS,-0.012186523550327504,-0.4152677389099919,0.6780226458995915,-0.020984408,-0.015164992,0.9479594411713819,60
COMMD5,-0.012186212582501105,-0.41525714080252324,0.6780304012226711,-0.08210209,-0.07630671,0.9479594411713819,60
