gene,t,p,fdr,eff_flag,eff_rest
LBHD1,-0.05666536184057113,0.9548213927580089,0.9946987543333202,0.100776784,0.109428346
LBHD2,0.33464071349433333,0.7379558025934019,0.9735608499940626,0.34723422,0.34650508
LBP,0.6909224515375181,0.48975062844262834,0.9281084973195116,0.16586615,0.15633318
LBR,0.6429917051922441,0.5203548286467681,0.9376918598359276,0.23092134,0.21790825
LBX1,-1.484206678583224,0.13802206649637422,0.7687917386936035,0.14451414,0.15883905
LBX2,-0.8410921178056796,0.40046731707401984,0.9093327809684938,0.12598458,0.13306409
LCA5,-1.4200108499164368,0.15586956081845327,0.7831938263358886,0.26144254,0.2711609
LCA5L,1.203347816270961,0.22908393630015908,0.8448068504633329,0.16694464,0.15011159
LCAT,1.8045215649179434,0.0714053264682293,0.6538290940684447,0.078152746,0.058110606
LCE1B,-0.8538679406884435,0.3933520565640299,0.909309416816574,-0.19806282,-0.17259501
LCE1C,0.145857846224399,0.8840586059142412,0.9893277984754026,-0.66030747,-0.6603017
LCE1D,-1.0464383231692016,0.2955737367861991,0.885147468948622,0.22672819,0.23856011
LCE1E,0.4585683635806109,0.646628891231579,0.9657127751994609,-0.082214564,-0.0822144
LCE1F,-1.5519368017353612,0.12094640548543975,0.7469531528874952,-0.74838173,-0.7414114
LCE2A,-1.1583127188315219,0.24697161436220091,0.8568545033469934,-0.33987528,-0.33635736
LCE2B,-0.968946637321498,0.3327710459965464,0.8945987409704127,-0.012219154,-0.003646853
LCE2C,0.6572464050054097,0.5111510994521272,0.9353895870407888,-1.556267,-1.588767
LCE2D,0.7361177019968207,0.4618058718275735,0.9252647254759064,0.08143975,0.07002881
LCE3A,-0.22533606841408932,0.8217569932884639,0.9844784809165573,-0.13532826,-0.13483225
LCE3B,-1.4438002202795508,0.14906151826181868,0.7791672998529928,0.24122582,0.25562444
LCE3C,-1.5111491152422973,0.13101911169997923,0.7610429985874338,-0.012168064,0.01866908
LCE3D,-1.377269901660833,0.1686908943405425,0.7980302909279994,0.082382545,0.101747006
LCE3E,-2.1589100107498496,0.03105890769597125,0.5497159680172332,0.12204106,0.1450635
LCE4A,0.9407351060076391,0.3470338150498747,0.8972353410066656,0.03284026,0.026148226
