gene,mean_PTENdef,mean_PTENwt,diff,t,n_def,n_wt,p,fdr
MRPL30,-0.05557130137755924,-0.071320007519531,0.01574870614197177,1.0820433901953497,240,876,0.27923324817017914,0.700079668351038
MRPL32,-0.42573829811788766,-0.4464517740345767,0.02071347591668904,1.0671924128223045,240,876,0.2858849579555808,0.7043214548514131
MRPL33,-0.786545123012567,-0.8072113356623373,0.02066621264977031,0.5676356143474556,240,876,0.5702824190173046,0.8611626583849662
MRPL34,-0.6970992632228301,-0.7265092163240744,0.02940995310124428,1.326904925180999,240,876,0.18454013494230792,0.6085333005037219
MRPL35,-0.5292006198879433,-0.5341676665448978,0.004967046656954466,0.24766759078174863,240,876,0.8043916095417821,0.9459227035053274
MRPL36,-0.4418215814705663,-0.45283168484134917,0.011010103370782842,0.5295307534587058,240,876,0.5964373164963866,0.8711455598197028
MRPL37,-0.2537584290497123,-0.2623833101303045,0.008624881080592228,0.5579494423329943,240,876,0.5768789081917469,0.863691404799493
MRPL38,-0.7102467598640311,-0.7076038986020794,-0.002642861261951679,-0.08697232446545441,240,876,0.9306935106058302,0.979745319096316
MRPL39,-0.5363491444169423,-0.5423633781061555,0.0060142336892132775,0.21621821294165447,240,876,0.8288176574379325,0.9530296102628486
MRPL4,-0.7318438985105706,-0.7232371620445882,-0.008606736465982423,-0.2973476787937987,240,876,0.7662010843406148,0.9359189679608808
MRPL40,-0.16626223534936663,-0.17241454509325913,0.006152309743892498,0.3268756750433774,240,876,0.7437619198537837,0.9284522641457743
MRPL41,-0.6607672559018399,-0.6615661452849232,0.0007988893830832566,0.028554982839091064,240,876,0.9772195159193605,0.9925642851775984
MRPL42,-0.07512494939668678,-0.08080475998410831,0.0056798105874215354,0.4165332338915927,240,876,0.6770198537783998,0.905065580867251
MRPL43,-0.6252885266495894,-0.6511677452797956,0.025879218630206147,0.8893135290512326,240,876,0.3738346025427386,0.7653208147999045
MRPL44,-0.28137017136305226,-0.26093037830811383,-0.020439793054938427,-1.14264451466504,240,876,0.2531862154705574,0.6745252011580619
MRPL45,-0.6937008616110211,-0.6903033580566295,-0.003397503554391612,-0.14837495742619244,240,876,0.8820468623812356,0.9680154136948254
MRPL46,-0.23027106091548252,-0.24509380008601375,0.01482273917053123,0.8253329882136279,240,876,0.40918256822973287,0.7841248072053145
MRPL47,-0.1974300364202138,-0.2016606620992498,0.004230625679035982,0.21985129051460506,240,876,0.8259869726628628,0.9524852836552319
MRPL48,-0.10081312066143593,-0.11578080849668182,0.014967687835245894,0.8052014875891804,240,876,0.42070341818644974,0.7905211687817933
MRPL49,-0.6405577012107456,-0.660927967601321,0.020370266390575376,0.8128312934509979,240,876,0.4163147910623538,0.7889943025415624
MRPL50,-0.4005481607364557,-0.3878248625318039,-0.01272329820465179,-0.8164581387575498,240,876,0.41423815633249117,0.7883225365943507
MRPL51,-0.22344712897237226,-0.24856112281664164,0.025113993844269378,1.4012902797379871,240,876,0.16112728671167997,0.5854870929969476
MRPL52,0.050120286644984566,0.025811169176743077,0.02430911746824149,1.6871377903934794,240,876,0.09157685999051814,0.4707656564477155
MRPL53,-0.5597882218409,-0.5792970420320753,0.01950882019117528,0.8993538467005459,240,876,0.36846421439818733,0.7617626771818531
MRPL54,-0.2993000468288473,-0.2892718327468288,-0.010028214082018483,-0.5611845204232327,240,876,0.5746717543936595,0.8628267895508916
MRPL55,-0.5065750612256514,-0.4979628121217066,-0.008612249103944813,-0.4193907547593559,240,876,0.6749305797063847,0.9039774220348156
MRPL57,-0.8085067116981884,-0.8099863411879239,0.0014796294897354567,0.038648669913183706,240,876,0.9691704982773098,0.9911551662168847
MRPL58,-0.27914931735981646,-0.2766931009587321,-0.0024562164010843435,-0.13558170026207908,240,876,0.892151972926994,0.9702631010875742
MRPL9,-0.35062768243697284,-0.3403727348035432,-0.010254947633429656,-0.5586432248239603,240,876,0.5764052339966252,0.8635538796202996
MRPS10,-0.44513957955699207,-0.47373195293317744,0.028592373376185365,1.3614288144831936,240,876,0.1733782153231822,0.5972868179844687
MRPS11,-0.6116151572958605,-0.6225432347870294,0.010928077491168975,0.304090252761108,240,876,0.7610591326050338,0.9344072667048816
MRPS12,-0.5430811796960078,-0.5520442659788626,0.008963086282854804,0.3394937504940541,240,876,0.7342378042285734,0.9244416009393355
MRPS14,-0.5509949801070003,-0.5441289968604069,-0.006865983246593377,-0.288410116448596,240,876,0.7730328247799888,0.9375649441596652
MRPS15,-0.17031862639815515,-0.18398224476556793,0.013663618367412783,0.8400864686655432,240,876,0.4008599063711936,0.7806722374626756
MRPS16,-0.5487520362915244,-0.5710058628854855,0.022253826593961135,0.9549413892808355,240,876,0.3396073374625558,0.7441651332606937
MRPS17,-0.10649594546874777,-0.12351317725911068,0.017017231790362908,0.8960257577640804,240,876,0.37023900654118824,0.7623537054793521
MRPS18A,-0.46108735891493924,-0.4637199470067086,0.002632588091769361,0.1566794014390867,240,876,0.8754975218309057,0.9659921483692091
MRPS18B,-0.44425351082798703,-0.4536669616281385,0.00941345080015149,0.47498988148747884,240,876,0.6347941854189281,0.8882320896687463
MRPS18C,-0.09107204736850535,-0.12281828813210838,0.03174624076360302,1.4930398288501805,240,876,0.1354267614927751,0.5474987450503361
MRPS2,-0.31932281562976533,-0.3461562480693552,0.026833432439589855,1.34231372657545,240,876,0.1794942945745086,0.6039052991318933
MRPS21,-0.9260825272545578,-0.9512441696601742,0.02516164240561647,0.9830626866117143,240,876,0.32557658728403627,0.7342828529379314
MRPS22,-0.46013320533556507,-0.473414565872847,0.013281360537281961,0.6740568311861814,240,876,0.5002751832045516,0.8322241470495451
MRPS23,-0.7567137090899512,-0.7535459110502283,-0.003167798039722891,-0.08654882732461679,240,876,0.9310301430631134,0.979745319096316
MRPS24,-0.34837651734329533,-0.36539560127225734,0.01701908392896201,0.7348931035447019,240,876,0.46240459877870976,0.8114602628651751
MRPS25,-0.3870129622857936,-0.4070589295626903,0.02004596727689667,0.8293092544748789,240,876,0.4069294354953059,0.7830968687402895
MRPS26,-0.3180904490666428,-0.331291989950393,0.013201540883750196,0.5984785525475654,240,876,0.5495206655053235,0.8537739161622311
MRPS27,-0.38200988491090987,-0.38558597482476026,0.0035760899138503888,0.21088960318088276,240,876,0.8329734171467963,0.9546105274836
MRPS28,-0.30277711237493016,-0.2927894496896673,-0.009987662685262855,-0.5734098708420278,240,876,0.5663672084490863,0.8598518696781787
