gene,t,p,fdr,eff_flag,eff_rest
ACTMAP,0.6130465066868567,0.5399641268541405,0.9076203393636578,0.27422288,0.27383658
ACTN1,0.7091616442577016,0.47836473672131175,0.8882869152202153,0.031983428,0.017848954
ACTN2,0.044735319735225446,0.9643258754921964,0.994517219642318,0.17799899,0.16749279
ACTN3,-0.9069741977559574,0.36460624290879334,0.8429718818936722,0.31986192,0.32117978
ACTN4,1.9926845624139995,0.04652681112277389,0.541989806441195,0.19965751,0.15067972
ACTR10,-1.7864011171417788,0.07429187976636764,0.6039940809216076,-1.0970371,-1.1033036
ACTR1A,-2.102071046685851,0.03575927017999268,0.5099779574000829,-0.79370636,-0.75265855
ACTR1B,-1.2912142117393548,0.19688315455446134,0.7565266986772027,-0.18633749,-0.1701824
ACTR2,-0.168364714317081,0.866325316520361,0.9845205248566309,-1.2580903,-1.2195823
ACTR3,-1.0394342273964452,0.2988164889606816,0.8126465433269814,-0.37596515,-0.3383665
ACTR3B,-0.3335052590271723,0.7388123734949142,0.9617457841855486,0.17702925,0.16318873
ACTR3C,0.14248335239939672,0.8867226348290238,0.9863989659686276,0.073558144,0.076512665
ACTR5,1.6167036883299764,0.10621045226785737,0.662020144963224,-0.15689628,-0.19411516
ACTR6,1.8850244133137064,0.059672924558930994,0.5747395867991425,-0.5905747,-0.6335505
ACTR8,0.7445945495522175,0.4566656275511443,0.8803759570964299,-0.49491546,-0.49011785
ACTRT1,-0.8030238802297316,0.4221231960649423,0.8670362443231451,0.2625356,0.2771905
ACTRT2,-0.07405286535629747,0.9409809139012171,0.993056040490312,0.23418987,0.25330955
ACTRT3,-2.321853797210899,0.02041094803161078,0.4551701116317251,0.032351047,0.07613867
ACVR1,-0.5835287566666721,0.5596492970318284,0.9151876168786417,0.20143792,0.21232976
ACVR1B,-0.012950277411651745,0.9896696589616895,0.9975678234711317,0.04436204,0.04404986
ACVR1C,-0.14645571915731492,0.8835867449360382,0.9859697512578911,0.24455468,0.24489906
ACVR2A,2.712425708002575,0.006776709396789996,0.36085977537906727,0.14948294,0.12193754
ACVR2B,-1.3798805988823497,0.1678856919424736,0.7291348357643553,0.21035698,0.21401785
ACVRL1,-0.4243940544569908,0.6713560808539901,0.9455578843145983,0.1712569,0.18660401
ACY1,0.2165488082027016,0.8285975419415196,0.9781126110069212,0.21374442,0.21551718
ACY3,-0.852524220659359,0.3940967887354571,0.8533199203675926,0.061084144,0.10017017
ACYP1,0.741502007911449,0.4585371624500046,0.8813447870714916,0.14004292,0.15155935
ACYP2,1.1311134397784468,0.25823796052897646,0.7972248100132394,0.21970506,0.21715216
ADA,-1.0106700409002072,0.3123822770580916,0.8186628185726733,0.10592285,0.11938143
ADA2,-1.0991321316800846,0.27193539812575046,0.8038339229013051,0.10790151,0.117227904
ADAD1,-0.6293039646434542,0.5292723028413205,0.9050311337311187,0.2511863,0.24734066
ADAD2,-1.252286796226449,0.2107143645541476,0.7639003687052421,0.11746713,0.12164236
ADAM10,-0.3079301888492169,0.7581899829024792,0.9665670454847167,0.1392584,0.17457488
ADAM11,-0.34646570237617097,0.7290547351062644,0.9601600393636021,-0.15686539,-0.16529016
ADAM12,-0.8559426071928397,0.39220388838612247,0.8533199203675926,0.13035843,0.13445455
ADAM15,0.10486527389801643,0.9165005965619714,0.9881527893657617,0.055184808,0.043959092
