A,B,maxid,minid,famA,B_ess_mean,B_ess_min,B_ess_var,A_ess_mean,A_loss_freq,codep,coexpr,B_gtex_med,B_gtex_breadth,bioplex,diff,panc_partner_loss,B_panc_dep
DHFR,TYMS,26.2032,26.2032,2,-0.399577,-3.535993,0.524909,-0.6625377,0.2410313901345291,0.5694584250450134,0.6597380638122559,3.47187,51.0,0,-0.2419842183589935,0.2708333333333333,-0.82143307
KIF17,KIF18A,20.9354,18.2879,22,-1.1913649,-4.095603,0.6387377,0.14773549,0.2982062780269058,-0.0024521718733012,0.1099188327789306,0.2652245,8.0,0,-0.2247982025146484,0.3125,-1.4149736
RABL2B,RAB6A,25.9615,23.5808,61,-0.40652233,-2.7833543,0.22884761,-0.005736428,0.0504484304932735,-0.0067045195028185,0.153908833861351,95.05035,54.0,0,-0.219548761844635,0.3125,-0.69768196
DDX39A,DDX3X,29.7424,29.7424,38,-0.886736,-2.9858932,0.33733502,-0.040091027,0.2410313901345291,0.0160679183900356,0.2476467937231063,90.15735,54.0,0,-0.2113028168678283,0.3541666666666667,-1.3129737
NDEL1,NDE1,56.1194,54.4928,1,-0.33783537,-2.3217456,0.13779804,0.095006414,0.3598654708520179,0.0722049176692962,0.3799509704113006,8.087745,54.0,1,-0.2073899507522583,0.25,-0.60047734
ARF5,ARF4,87.2222,87.2222,28,-0.5011231,-2.3864617,0.19119622,0.15767847,0.1883408071748878,-0.00072972336784,0.1509934812784195,110.724,54.0,1,-0.2067614495754242,0.2708333333333333,-0.645776
DDX17,DDX5,69.7068,58.7106,28,-0.57805455,-2.0349307,0.109734714,-0.049303092,0.3352017937219731,-0.0259937029331922,0.4214479327201843,321.2735,54.0,1,-0.2013772130012512,0.3125,-0.678732
CCNB2,CCNB1,55.2764,55.2764,11,-0.602259,-2.4921052,0.12733744,0.1315131,0.2522421524663677,-0.0049538034945726,0.7372639179229736,3.543645,52.0,0,-0.1886426210403442,0.25,-0.7246342
PABPC4,PABPC1,78.1447,75.303,16,-1.0258665,-2.3025045,0.21123183,0.11424307,0.1928251121076233,-0.1965968757867813,0.2842293381690979,338.1445,54.0,0,-0.1864634156227111,0.3333333333333333,-1.0767131
CDK2,CDK1,65.3199,65.1007,26,-2.493813,-3.9498494,0.31410265,-0.5548319,0.1491031390134529,0.0434976927936077,0.4307757914066314,1.487175,32.0,0,-0.1821157932281494,0.3541666666666667,-2.6208227
HMGB3,SMARCE1,22.0,22.0,16,-0.5643792,-1.7240806,0.11300649,0.20964058,0.0504484304932735,-0.0129443453624844,0.2659222185611725,24.4476,54.0,0,-0.1800514459609985,0.3333333333333333,-0.622678
CCT4,CCT3,32.6531,32.6531,11,-2.455272,-4.259594,0.20673881,-2.1126766,0.1278026905829596,0.1300302892923355,0.6172928810119629,96.09275,54.0,1,-0.1795079708099365,0.25,-2.521567
RPL36A,RPL36AL,99.0566,99.0566,1,-0.71350247,-2.2790482,0.08737345,-1.3868446,0.0504484304932735,0.0866756290197372,0.2046969980001449,352.9855,54.0,0,-0.1753100156784057,0.25,-0.7123788
PCBP1,HNRNPK,31.7416,31.7416,12,-2.3972538,-4.0612254,0.27712992,-1.204083,0.1221973094170403,-0.0613224320113658,0.482176125049591,268.7395,54.0,0,-0.1685128211975097,0.2916666666666667,-2.6086147
CCNJ,CCND1,20.0,15.4047,2,-0.935114,-4.3489437,0.88260597,0.04210598,0.2836322869955157,-0.0374466776847839,-0.1166983470320701,22.40565,53.0,0,-0.1616853475570678,0.2708333333333333,-1.3423542
ACTR3B,ACTR3,90.1914,90.1914,26,-0.348376,-2.4583652,0.07491607,0.1673937,0.0493273542600896,-0.0574428774416446,0.1489549875259399,40.8804,54.0,1,-0.1582493484020233,0.2916666666666667,-0.46484104
PSMB7,PSMB6,29.2887,25.2708,8,-1.7907768,-4.066187,0.62234485,-1.1217788,0.1973094170403587,-0.1580123752355575,0.5168469548225403,136.505,54.0,1,-0.1580233573913574,0.2708333333333333,-1.912083
TUBA1B,TUBA1C,98.441,98.0044,22,-0.7815503,-2.7103715,0.18533663,-0.8673666,0.1591928251121076,0.3734622299671173,0.4557183086872101,13.90645,54.0,1,-0.1523836851119995,0.3958333333333333,-0.8028248
ACTB,ACTG1,98.9333,98.9333,26,-0.63838845,-2.4566846,0.11379201,-0.64142084,0.1031390134529148,0.1632175892591476,0.4558403789997101,1292.535,54.0,0,-0.1515249609947204,0.25,-0.7116216
KIF17,KIF11,25.0,25.0,22,-2.770683,-4.4750023,0.44110852,0.14773549,0.2982062780269058,-0.0365484021604061,0.095655158162117,0.8436159999999999,18.0,0,-0.1509208679199218,0.3125,-2.6322737
RRP1B,RRP1,47.0716,28.628,1,-0.7086212,-2.2419426,0.11365533,0.17503299,0.289237668161435,0.0343228504061698,0.7660357356071472,15.5299,54.0,0,-0.1492748856544494,0.3333333333333333,-0.7664035
RBBP7,RBBP4,88.7059,88.7059,3,-1.2358023,-3.4376166,0.17539641,0.054144494,0.0504484304932735,0.0498017743229866,0.4196251034736633,36.79095,54.0,1,-0.1478387117385864,0.3958333333333333,-1.1767997
MYBL1,MYBL2,40.2857,37.5,2,-0.40685898,-2.456287,0.1454762,0.24668401,0.1681614349775785,-0.1373057812452316,0.2072239816188812,0.3057185,15.0,0,-0.1431290805339813,0.25,-0.4722501
EIF1B,EIF1,92.0354,92.0354,1,-1.003194,-3.1246767,0.14308517,0.20209572,0.3643497757847533,-0.0104728564620018,0.3563368022441864,409.643,54.0,0,-0.1426655650138855,0.4375,-1.0565714
PRELID3A,PRELID3B,70.3488,70.3488,3,-1.519837,-2.8981428,0.21307851,0.28691328,0.3172645739910314,-0.0769373029470443,0.0528556145727634,27.185650000000003,54.0,0,-0.1415238380432129,0.5208333333333334,-1.6472899
ARHGEF6,ARHGEF7,61.5979,61.5979,1,-0.23158112,-1.9105439,0.15228918,0.33178383,0.0246636771300448,0.0429982058703899,0.2386907786130905,20.95595,54.0,1,-0.1398698687553405,0.5416666666666666,-0.56561106
TFDP2,TFDP1,64.1463,58.9686,2,-0.5387903,-1.8022956,0.119590834,0.057356447,0.1098654708520179,-0.0896687507629394,0.1290990263223648,28.45325,54.0,0,-0.1390665769577026,0.3125,-0.5775533
PSMB7,PSMB3,24.3902,18.0505,8,-2.9394038,-4.3530393,0.21459734,-1.1217788,0.1973094170403587,0.1112335994839668,0.39496049284935,136.09949999999998,54.0,1,-0.139012336730957,0.2708333333333333,-3.1227677
PRKRA,ADAR,27.7955,27.7955,4,-0.32500824,-2.559133,0.16248251,-0.5094159,0.1625560538116592,0.2663460075855255,0.3402106463909149,77.92295,54.0,0,-0.1389161348342895,0.2708333333333333,-0.41959193
CCT7,CCT4,32.4675,32.2284,11,-2.1126766,-3.4709044,0.18567592,-0.73019713,0.132286995515695,-0.0244702231138944,0.798463761806488,93.1076,54.0,1,-0.1372101306915283,0.3333333333333333,-1.9406582
IMPDH1,IMPDH2,83.0739,71.2855,3,-0.3935462,-1.7348495,0.12956136,-0.101159334,0.1905829596412556,-0.039951879531145,0.1382906883955001,138.245,54.0,1,-0.1349377930164337,0.375,-0.57742435
TARBP2,PRKRA,46.0064,39.3443,6,-0.5094159,-3.2871485,0.33092126,-0.005663333,0.1446188340807175,-0.0090337544679641,0.2447296231985092,36.0138,54.0,1,-0.1333441436290741,0.2708333333333333,-0.54174477
USP50,USP8,38.9222,38.9222,41,-0.6601385,-2.2607613,0.09280822,0.06362446,0.2410313901345291,0.0973477065563201,0.33817920088768,6.0908750000000005,54.0,0,-0.1331461071968078,0.25,-0.6703923
CCT4,CCT6A,28.8136,28.3859,11,-1.2281265,-2.517488,0.14402914,-2.1126766,0.1278026905829596,0.0582722052931785,0.4832859337329864,96.4965,54.0,0,-0.1330598592758178,0.25,-1.0220673
YJU2,YJU2B,29.4118,29.4118,1,-0.64539343,-1.9858363,0.10930189,-1.4876162,0.3307174887892377,0.1172486618161201,0.2463507205247879,,,0,-0.131300687789917,0.2916666666666667,-0.77989054
UBE2G2,UBE2I,29.1139,27.8788,17,-1.696635,-3.6867871,0.25962797,-0.15069844,0.2948430493273543,0.0070215426385402,0.346291184425354,38.95855,54.0,0,-0.1301925182342529,0.3333333333333333,-1.9437541
AK2,CMPK1,28.5088,27.1967,7,-0.81656307,-2.3453102,0.12929688,-0.13676992,0.2387892376681614,-0.0220961589366197,0.3378215730190277,71.1271,54.0,0,-0.1295501589775085,0.2708333333333333,-0.8784521
RAB8A,RAB10,70.0,67.6329,67,-0.2930774,-2.1749923,0.18442473,0.043426618,0.2522421524663677,0.0674259066581726,0.2773891091346741,63.16335,54.0,0,-0.128194123506546,0.2708333333333333,-0.7553096
YPEL4,YPEL5,29.7521,28.3465,7,-0.6551866,-3.1514325,0.26126772,0.050176125,0.1704035874439461,0.0100815538316965,0.2018190771341323,60.4224,54.0,0,-0.1281927824020385,0.4583333333333333,-0.8582769
RRM2B,RRM2,78.0627,78.0627,1,-2.5746262,-3.9991016,0.3577394,0.13906749,0.1390134529147982,-0.029820779338479,0.1155175864696502,0.3618595,15.0,1,-0.1259329319000244,0.5,-2.3507187
SUGP2,SUGP1,23.876,14.2329,1,-0.653308,-2.0026188,0.07350574,-0.077177025,0.2511210762331838,0.1628844290971756,0.7619017362594604,19.244300000000003,54.0,0,-0.1255841255187988,0.3541666666666667,-0.7277023
SNRPA,SNRPB2,68.8889,54.9645,1,-0.5560225,-2.6990588,0.2523436,-0.22989924,0.2320627802690583,0.0473940558731555,0.1823245286941528,24.7587,54.0,0,-0.1234603524208068,0.2916666666666667,-0.69574803
