gene,partial_r,t,p,eff_def,eff_wt,fdr,n_def
MGAT1,-0.03698347564630261,-1.2610173016478656,0.20755594943816866,-0.25604403,-0.2015363,0.6397743147503411,118
ENO4,-0.03698301977678715,-1.2610017366778825,0.20756155524683237,0.18382928,0.1902161,0.6397743147503411,118
ZKSCAN7,-0.03696890904074017,-1.260519947486327,0.20773512863603602,0.14042251,0.15746075,0.6402028386420062,118
TXNDC11,-0.03696487008592708,-1.2603820437790862,0.20778483037417408,0.08801638,0.112339556,0.6402495330335584,118
MAPRE3,-0.03695129604745319,-1.2599185802138904,0.20795193009682914,0.15756115,0.1608743,0.640444942101436,118
GPR78,-0.036932573866790504,-1.259279342815106,0.20818256436235943,0.22430892,0.2302502,0.641048703921383,118
UBE2O,-0.03692369011435662,-1.2589760224806787,0.20829206604864844,-0.1965585,-0.18101066,0.6412793281188743,118
BRAP,-0.03692031365719096,-1.258860739279366,0.20833369540479668,-0.11960628,-0.07694897,0.6413009484296158,118
SLAMF8,-0.036881390383480504,-1.2575317755590558,0.20881402717528352,0.13546808,0.15277615,0.6414316166240341,118
OPN1SW,-0.03687733474920377,-1.257393303702346,0.20886412170351848,0.25670415,0.27231416,0.6414316166240341,118
CDCA3,-0.036861052435765325,-1.256837375953482,0.2090653257074087,-0.2064324,-0.17426436,0.6414316166240341,118
PHYH,-0.036858777789642035,-1.2567597126899561,0.20909344515267445,0.127646,0.15492949,0.6414316166240341,118
RPS10,-0.036858677859026856,-1.256756300758491,0.20909468056954103,-1.1617261,-1.1481726,0.6414316166240341,118
OR11H4,-0.03685687316173201,-1.2566946829767385,0.20911699249367574,0.055016316,0.07060407,0.6414316166240341,118
MRPL3,-0.036849372200475426,-1.256438577780112,0.20920974721236268,-0.38538748,-0.35797545,0.6414316166240341,118
NENF,-0.03684433627440019,-1.256266636358392,0.20927203671505312,0.114751264,0.1334917,0.6414316166240341,118
ATPAF1,-0.0368306366799656,-1.2557988921407972,0.20944155524803493,0.12928908,0.14506678,0.6414316166240341,118
DNASE1L1,-0.03682541629237137,-1.2556206530282092,0.20950617835663454,0.2060805,0.23848212,0.6414316166240341,118
SEC23IP,-0.03682527104141004,-1.2556156937422753,0.20950797662253604,0.046963487,0.05528014,0.6414316166240341,118
TRAPPC2L,-0.03682300170670487,-1.2555382121333643,0.20953607335765617,-0.09659728,-0.08797783,0.6414316166240341,118
